Provider #,Site Name,State,Type (group),Type,City,County,Rural Status,Site Subcategory,# of Beds,.Hospital Locations,Latitude,Longitude
210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,816,Point,39.28815696,-76.62364556
390117,UPMC BEDFORD MEMORIAL,PA,All Others,Short-Term Hospital,Everett,Bedford County,Yes,Short Term,49,Point,40.02367162,-78.42883067
390104,UPMC KANE,PA,All Others,Short-Term Hospital,Kane,McKean County,Yes,Short Term,31,Point,41.67241392,-78.81699373
390164,UPMC PRESBYTERIAN SHADYSIDE,PA,All Others,Short-Term Hospital,Pittsburgh,Allegheny County,No,Short Term,1577,Point,40.44202056,-79.96106141
360029,WOOD COUNTY HOSPITAL,OH,All Others,Short-Term Hospital,Bowling Green,Wood County,Yes,Short Term,168,Point,41.37394,-83.66553957
330030,NEWARK-WAYNE COMMUNITY HOSPITAL,NY,All Others,Short-Term Hospital,Newark,Wayne County,Yes,Short Term,120,Point,43.06050432,-77.1009387
390067,UPMC PINNACLE HOSPITALS,PA,All Others,Short-Term Hospital,Harrisburg,Dauphin County,No,Short Term,717,Point,40.25651501,-76.87582693
492008,SELECT SPECIALTY HOSPITAL - HAMPTON ROADS,VA,All Others,Long-Term Hospital,Newport News,Newport News City,No,Long Term,25,Point,37.06496799,-76.48465525
512005,SELECT SPECIALTY HOSPITAL - WEIRTON,WV,All Others,Long-Term Hospital,Weirton,Brooke County,No,Long Term,49,Point,40.39382428,-80.52958738
312017,SPECIALTY HOSPITAL OF CENTRAL JERSEY,NJ,All Others,Long-Term Hospital,Lakewood,Ocean County,No,Long Term,50,Point,40.07294001,-74.21756803
362025,COMMUNITY SPECIALTY HOSPITAL,OH,All Others,Long-Term Hospital,Amherst,Lorain County,No,Long Term,30,Point,41.39969554,-82.22425322
204004,DOROTHEA DIX PSYCHIATRIC CENTER,ME,All Others,Psychiatric Hospital,Bangor,Penobscot County,No,Psychiatric,100,Point,44.81788481,-68.74155301
394054,EAST END BEHAVIORAL HEALTH HOSPITAL,PA,All Others,Psychiatric Hospital,Wilkinsburg,Allegheny County,No,Psychiatric,49,Point,40.44617748,-79.89212721
330410,TERENCE CARDINAL COOKE HEALTH CARE CENTER,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,57,Point,40.79381424,-73.95112066
300018,WENTWORTH-DOUGLASS HOSPITAL,NH,All Others,Short-Term Hospital,Dover,Strafford County,No,Short Term,178,Point,43.21264349,-70.87528515
510072,WETZEL COUNTY HOSPITAL,WV,All Others,Short-Term Hospital,New Martinsville,Wetzel County,Yes,Short Term,58,Point,39.68001814,-80.85011705
200009,MAINE MEDICAL CENTER,ME,All Others,Short-Term Hospital,Portland,Cumberland County,No,Short Term,606,Point,43.65244702,-70.27554304
392027,KINDRED HOSPITAL PHILADELPHIA,PA,All Others,Long-Term Hospital,Philadelphia,Philadelphia County,No,Long Term,52,Point,40.04615421,-75.09732404
312014,"MATHENY SCHOOL & HOSPITAL, THE",NJ,All Others,Long-Term Hospital,Far Hills,Somerset County,No,Long Term,102,Point,40.70892149,-74.64387028
222002,PAM HEALTH SPECIALTY HOSPITAL OF STOUGHTON,MA,All Others,Long-Term Hospital,Stoughton,Norfolk County,No,Long Term,198,Point,42.100197,-71.08296909
222043,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,MA,All Others,Long-Term Hospital,New Bedford,Bristol County,No,Long Term,90,Point,41.74047191,-70.94561183
474001,BRATTLEBORO RETREAT,VT,All Others,Psychiatric Hospital,Brattleboro,Windham County,Yes,Psychiatric,149,Point,42.85475998,-72.55914998
394049,BROOKE GLEN BEHAVIORAL HOSPITAL,PA,All Others,Psychiatric Hospital,Fort Washington,Montgomery County,No,Psychiatric,146,Point,40.13505591,-75.21608664
334052,BUFFALO PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Buffalo,Erie County,No,Psychiatric,260,Point,42.92804673,-78.8809562
514011,"HIGHLAND-CLARKSBURG HOSPITAL, INC",WV,All Others,Psychiatric Hospital,Clarksburg,Harrison County,Yes,Psychiatric,150,Point,39.27173861,-80.37190249
314024,HUDSON COUNTY MEADOWVIEW PSYCHIATRIC H,NJ,All Others,Psychiatric Hospital,Secaucus,Hudson County,No,Psychiatric,84,Point,40.784527,-74.05939004
334063,KINGSBORO PSYCHIATRIC HOSPITAL,NY,All Others,Psychiatric Hospital,Brooklyn,Kings County,No,Psychiatric,173,Point,40.65650676,-73.93650237
394040,MEADOWS PSYCHIATRIC CENTER,PA,All Others,Psychiatric Hospital,Centre Hall,Centre County,No,Psychiatric,101,Point,40.84747688,-77.65284001
070006,STAMFORD HOSPITAL,CT,All Others,Short-Term Hospital,Stamford,Fairfield County,No,Short Term,305,Point,41.05498801,-73.55391249
360020,SUMMA HEALTH SYSTEM,OH,All Others,Short-Term Hospital,Akron,Summit County,No,Short Term,1093,Point,41.07881981,-81.50114358
390316,SURGICAL INSTITUTE OF READING,PA,All Others,Short-Term Hospital,Wyomissing,Berks County,No,Short Term,15,Point,40.35801969,-75.98749917
490033,WARREN MEMORIAL HOSPITAL,VA,All Others,Short-Term Hospital,Front Royal,Warren County,Yes,Short Term,196,Point,38.92045682,-78.15129536
390138,WELLSPAN WAYNESBORO HOSPITAL,PA,All Others,Short-Term Hospital,Waynesboro,Franklin County,Yes,Short Term,57,Point,39.75112107,-77.56855217
412001,ELEANOR SLATER HOSPITAL,RI,All Others,Long-Term Hospital,Cranston,Providence County,No,Long Term,250,Point,41.74357079,-71.46366906
072004,HOSPITAL FOR SPECIAL CARE,CT,All Others,Long-Term Hospital,New Britain,Hartford County,No,Long Term,228,Point,41.68837474,-72.80039289
364066,ASSURANCE HEALTH TOLEDO LLC,OH,All Others,Psychiatric Hospital,Sylvania,Lucas County,No,Psychiatric,65,Point,41.6897034,-83.72318552
394008,FRIENDS HOSPITAL,PA,All Others,Psychiatric Hospital,Philadelphia,Philadelphia County,No,Psychiatric,192,Point,40.02843448,-75.10084899
334048,GRACIE SQUARE HOSP,NY,All Others,Psychiatric Hospital,New York,New York County,No,Psychiatric,157,Point,40.76977879,-73.9529091
360037,ST VINCENT CHARITY MEDICAL CENTER,OH,All Others,Short-Term Hospital,Cleveland,Cuyahoga County,No,Short Term,448,Point,41.49663719,-81.67395152
070028,ST VINCENT'S MEDICAL CENTER,CT,All Others,Short-Term Hospital,Bridgeport,Fairfield County,No,Short Term,397,Point,41.20075379,-73.20300076
330285,STRONG MEMORIAL HOSPITAL,NY,All Others,Short-Term Hospital,Rochester,Monroe County,No,Short Term,739,Point,43.12283219,-77.62358741
330057,ST PETER'S HOSPITAL,NY,All Others,Short-Term Hospital,Albany,Albany County,No,Short Term,482,Point,42.65652123,-73.80378289
210022,SUBURBAN HOSPITAL,MD,All Others,Short-Term Hospital,Bethesda,Montgomery County,No,Short Term,229,Point,38.99746158,-77.10927316
360352,SURGICAL HOSPITAL AT SOUTHWOODS,OH,All Others,Short-Term Hospital,Youngstown,Mahoning County,No,Short Term,36,Point,41.01555204,-80.65338079
210043,UMD BALTIMORE WASHINGTON  MEDICAL CENTER,MD,All Others,Short-Term Hospital,Glen Burnie,Anne Arundel County,No,Short Term,329,Point,39.1388849,-76.62254133
390150,WASHINGTON HEALTH SYSTEM GREENE,PA,All Others,Short-Term Hospital,Waynesburg,Greene County,Yes,Short Term,18,Point,39.90047896,-80.17390869
510086,WELCH COMMUNITY HOSPITAL,WV,All Others,Short-Term Hospital,Welch,McDowell County,Yes,Short Term,124,Point,37.43915019,-81.58928248
332006,CALVARY HOSPITAL INC,NY,All Others,Long-Term Hospital,Bronx,Bronx County,No,Long Term,225,Point,40.84780844,-73.84425961
072003,GAYLORD HOSPITAL INC,CT,All Others,Long-Term Hospital,Wallingford,New Haven County,No,Long Term,137,Point,41.47419871,-72.85740865
364015,APPALACHIAN BEHAVIORAL HEALTH CARE,OH,All Others,Psychiatric Hospital,Athens,Athens County,Yes,Psychiatric,40,Point,39.32816747,-82.11847846
334061,MID HUDSON FORENSIC PSYCHIATRIC CTR,NY,All Others,Psychiatric Hospital,New Hampton,Orange County,No,Psychiatric,280,Point,41.39014998,-74.42751995
334021,MOHAWK VALLEY PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Utica,Oneida County,No,Psychiatric,189,Point,43.10192965,-75.2595199
394001,NORRISTOWN STATE HOSPITAL,PA,All Others,Psychiatric Hospital,Norristown,Montgomery County,No,Psychiatric,289,Point,40.13506798,-75.34551798
364011,NORTHCOAST BEHAVIORAL HEALTHCARE NORTHFIELD CAMPUS,OH,All Others,Psychiatric Hospital,Northfield,Summit County,No,Psychiatric,260,Point,41.34890498,-81.57515503
334003,ST LAWRENCE PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,Ogdensburg,St. Lawrence County,Yes,Psychiatric,108,Point,44.72641118,-75.45340335
314001,SUMMIT OAKS HOSPITAL,NJ,All Others,Psychiatric Hospital,Summit,Union County,No,Psychiatric,126,Point,40.71330098,-74.36251343
223027,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,MA,All Others,Rehabilitation Hospital,Braintree,Norfolk County,No,Rehabilitation,187,Point,42.19809499,-71.0187063
493032,ENCOMPASS HEALTH REHAB HOSPITAL OF FREDERICKSBURG,VA,All Others,Rehabilitation Hospital,Fredericksburg,Fredericksburg City,No,Rehabilitation,58,Point,38.31326597,-77.48662418
493031,ENCOMPASS HEALTH REHAB HOSPITAL OF PETERSBURG,VA,All Others,Rehabilitation Hospital,Petersburg,Petersburg City,No,Rehabilitation,64,Point,37.18462901,-77.364023
223030,ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,MA,All Others,Rehabilitation Hospital,Ludlow,Hampden County,No,Rehabilitation,53,Point,42.15497836,-72.47074613
331317,LEWIS COUNTY GENERAL HOSPITAL,NY,Critical Access Hospitals,Critical Access Hospital,Lowville,Lewis County,Yes,Critical Access Hospitals,25,Point,43.79542841,-75.49911568
361303,LODI COMMUNITY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Lodi,Medina County,No,Critical Access Hospitals,20,Point,41.03625483,-82.01362454
361300,PAULDING COUNTY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Paulding,Paulding County,Yes,Critical Access Hospitals,25,Point,41.13526246,-84.60112098
36021E,MASONIC-RICKLEY MEM HOSP,OH,All Others,Data not provided by CMS,Springfield,Clark County,No,Data not provided by CMS,343,Point,39.92461562,-83.86352921
21010F,PERRY POINT VA MEDICAL CENTER,MD,All Others,Data not provided by CMS,Perry Point,Cecil County,No,Data not provided by CMS,505,Point,39.552915,-76.07232999
36024E,SAGAMORE HILLS HOSP,OH,All Others,Data not provided by CMS,Northfield,Summit County,No,Data not provided by CMS,92,Point,41.34735173,-81.56176444
364041,OHIO HOSPITAL FOR PSYCHIATRY,OH,All Others,Psychiatric Hospital,Columbus,Franklin County,No,Psychiatric,78,Point,39.93986263,-83.02015038
364007,TWIN VALLEY BEHAVIORAL HEALTHCARE,OH,All Others,Psychiatric Hospital,Columbus,Franklin County,No,Psychiatric,176,Point,39.95567501,-83.05921214
474004,VERMONT PSYCHIATRIC CARE HOSPITAL,VT,All Others,Psychiatric Hospital,Berlin,Washington County,Yes,Psychiatric,25,Point,44.22228287,-72.56534019
224039,WHITTIER PAVILION,MA,All Others,Psychiatric Hospital,Haverhill,Essex County,No,Psychiatric,71,Point,42.77859489,-71.07321608
223029,"FAIRLAWN REHAB HOSP, AN AFFILIATE OF ENCOMPASS HLT",MA,All Others,Rehabilitation Hospital,Worcester,Worcester County,No,Rehabilitation,110,Point,42.2599728,-71.83521448
313027,ST LAWRENCE REHABILITATION CENTER,NJ,All Others,Rehabilitation Hospital,Lawrenceville,Mercer County,No,Rehabilitation,86,Point,40.26608999,-74.74202003
363039,UNIVERSITY HOSPITALS AVON REHABILITATION HOSPITAL,OH,All Others,Rehabilitation Hospital,Avon,Lorain County,No,Rehabilitation,50,Point,41.46707745,-82.04441496
491300,BATH COMMUNITY HOSPITAL,VA,Critical Access Hospitals,Critical Access Hospital,Hot Springs,Bath County,Yes,Critical Access Hospitals,25,Point,37.97244999,-79.86593997
361325,GALION COMMUNITY HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Galion,Crawford County,Yes,Critical Access Hospitals,35,Point,40.73121613,-82.80326327
49001F,DEWITT ARMY HOSP,VA,All Others,Data not provided by CMS,Fort Belvoir,Fairfax County,No,Data not provided by CMS,240,Point,38.69559,-77.13837499
49036E,ST GERARDS MATERNITY HOME,VA,All Others,Data not provided by CMS,Richmond,Richmond City,No,Data not provided by CMS,14,Point,37.51506618,-77.45599469
49037E,UNIVERSITY OF VIRGINIA CHILDRENS REHAB,VA,All Others,Data not provided by CMS,Charlottesville,Albemarle County,No,Data not provided by CMS,30,Point,38.04607345,-78.52012424
224023,WESTWOOD PEMBROKE HEALTH SYSTEMS,MA,All Others,Psychiatric Hospital,Westwood,Norfolk County,No,Psychiatric,248,Point,42.20676624,-71.22329808
393031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MECHAN,PA,All Others,Rehabilitation Hospital,Mechanicsburg,Cumberland County,No,Rehabilitation,75,Point,40.20998233,-76.97406636
511313,"BOONE MEMORIAL HOSPITAL, INC",WV,Critical Access Hospitals,Critical Access Hospital,Madison,Boone County,Yes,Critical Access Hospitals,25,Point,38.04819822,-81.80689085
221302,FAIRVIEW HOSPITAL,MA,Critical Access Hospitals,Critical Access Hospital,Great Barrington,Berkshire County,Yes,Critical Access Hospitals,25,Point,42.19109929,-73.37191807
51002F,BECKLEY VA MEDICAL CENTER,WV,All Others,Data not provided by CMS,Beckley,Raleigh County,No,Data not provided by CMS,172,Point,37.76511406,-81.1926877
491308,RAPPAHANNOCK GENERAL HOSPITAL,VA,Critical Access Hospitals,Critical Access Hospital,Kilmarnock,Lancaster County,Yes,Critical Access Hospitals,76,Point,37.70106698,-76.38705997
49005F,US AIR FORCE HOSP,VA,All Others,Data not provided by CMS,Hampton,Hampton City,No,Data not provided by CMS,90,Point,37.08288,-76.36054999
394026,TORRANCE STATE HOSPITAL,PA,All Others,Psychiatric Hospital,Torrance,Westmoreland County,No,Psychiatric,357,Point,40.41526229,-79.23794279
224038,"WALDEN BEHAVIORAL CARE, LLC",MA,All Others,Psychiatric Hospital,Dedham,Norfolk County,No,Psychiatric,45,Point,42.22710438,-71.17224022
334065,WESTERN NY CHILDRENS PSYCHIATRIC CENTER,NY,All Others,Psychiatric Hospital,West Seneca,Erie County,No,Psychiatric,46,Point,42.82033727,-78.73283189
363033,THE REHABILITATION INSTITUTE OF OHIO,OH,All Others,Rehabilitation Hospital,Dayton,Montgomery County,No,Rehabilitation,60,Point,39.74706351,-84.18849833
493029,UVA ENCOMPASS HEALTH REHABILITATION HOSPITAL,VA,All Others,Rehabilitation Hospital,Charlottesville,Albemarle County,No,Rehabilitation,50,Point,38.02418838,-78.52550492
331303,GARNET HEALTH MEDICAL CENTER-CATSKILLS(GMHERMANN),NY,Critical Access Hospitals,Critical Access Hospital,Cochecton,Sullivan County,Yes,Critical Access Hospitals,15,Point,41.69697997,-75.05193563
361310,MERCY HEALTH - WILLARD HOSPITAL,OH,Critical Access Hospitals,Critical Access Hospital,Willard,Huron County,Yes,Critical Access Hospitals,15,Point,41.03935978,-82.7076219
21005F,BALTIMORE VA REHAB & EXTENDED CARE CENTER (BRECC),MD,All Others,Data not provided by CMS,Baltimore,Baltimore City,No,Data not provided by CMS,120,Point,39.33620345,-76.59443312
36009F,CHALMERS P WYLIE OUTPATIENT CLINIC,OH,All Others,Data not provided by CMS,Columbus,Franklin County,No,Data not provided by CMS,20,Point,39.97862109,-82.96093265
36015E,DAYTON CHILDRENS HOSP,OH,All Others,Data not provided by CMS,Dayton,Montgomery County,No,Data not provided by CMS,84,Point,39.75779414,-84.17850921
22002F,U S PUB HLTH SERV HOSP,MA,All Others,Data not provided by CMS,Boston,Suffolk County,No,Data not provided by CMS,211,Point,42.34894226,-71.14273164
20003F,VA HOSP,ME,All Others,Data not provided by CMS,Town of Chelsea,Kennebec County,Yes,Data not provided by CMS,841,Point,44.27451,-69.70309999
33009F,VA HOSP,NY,All Others,Data not provided by CMS,Albany,Albany County,No,Data not provided by CMS,975,Point,42.65074056,-73.77193736
314018,NORTHBROOK BEHAVIORAL HEALTH HOSPITAL,NJ,All Others,Psychiatric Hospital,Blackwood,Camden County,No,Psychiatric,150,Point,39.78846052,-75.07430566
364014,NORTHWEST OHIO PSYCHIATRIC HOSPITAL,OH,All Others,Psychiatric Hospital,Toledo,Lucas County,No,Psychiatric,114,Point,41.62085142,-83.59841503
074014,SILVER HILL HOSPITAL INC,CT,All Others,Psychiatric Hospital,New Canaan,Fairfield County,No,Psychiatric,129,Point,41.16525408,-73.46831247
494017,SOUTHERN VIRGINIA MENTAL HEALTH INSTITUTE,VA,All Others,Psychiatric Hospital,Danville,Danville City,Yes,Psychiatric,96,Point,36.55585258,-79.40963352
364035,SUMMIT BEHAVIORAL HEALTHCARE,OH,All Others,Psychiatric Hospital,Cincinnati,Hamilton County,No,Psychiatric,291,Point,39.19539301,-84.47011997
